Name,ind1,inda,logp,lumo,status
d101, 1.0, 0.0, 6.26, -1.598, active
d103, 1.0, 0.0, 4.69, -1.487, active
d45, 0.0, 0.0, 1.46, -2.227, active
d58, 1.0, 0.0, 3.01, -1.991, active
d32, 0.0, 0.0, 3, -2.562, active
d8, 1.0, 0.0, 3.46, -1.437, active
d74, 1.0, 0.0, 5.87, -1.689, active
d184, 1.0, 0.0, 4.44, -2.074, active
d134, 1.0, 0.0, 4.73, -1.951, active
d80, 1.0, 0.0, 4.69, -1.329, active
d23, 1.0, 1.0, 5.07, -2.164, active
d118, 1.0, 0.0, 6.57, -1.8, active
d94, 1.0, 0.0, 4.69, -1.585, active
d157, 1.0, 0.0, 4.19, -1.623, active
d4, 1.0, 0.0, 4.69, -1.591, active
d125, 1.0, 0.0, 4.99, -1.256, active
d15, 1.0, 0.0, 4.69, -1.698, active
d99, 1.0, 0.0, 2.72, -2.159, active
d165, 1.0, 0.0, 4.69, -1.522, active
d169, 0.0, 0.0, 1.49, -2.17, active
d50, 0.0, 0.0, 2.58, -1.932, active
d151, 0.0, 0.0, 1.75, -1.411, active
d13, 1.0, 0.0, 4.44, -2.292, active
d171, 0.0, 0.0, 3, -2.508, active
d88, 0.0, 0.0, 1.53, -1.605, inactive
d111, 0.0, 0.0, 1.56, -1.687, inactive
d160, 0.0, 0.0, 2.78, -1.691, inactive
d34, 0.0, 0.0, 3.24, -1.451, inactive
d76, 0.0, 0.0, 2.24, -1.069, inactive
d156, 0.0, 0.0, 1.92, -0.854, inactive
d132, 0.0, 0.0, 1.74, -1.499, inactive
d14, 0.0, 0.0, 1.77, -1.289, inactive
d138, 0.0, 0.0, 1.77, -1.157, inactive
d131, 0.0, 0.0, 2.83, -1.538, inactive
d42, 0.0, 0.0, 1.77, -1.19, inactive
d78, 0.0, 0.0, 4.27, -1.276, inactive
d129, 0.0, 0.0, 1.46, -1.592, inactive
d3, 0.0, 0.0, 1.86, -1.456, inactive
d143, 0.0, 0.0, 2.35, -1.046, inactive
d7, 0.0, 0.0, 3.99, -1.144, inactive
d98, 0.0, 0.0, 1.65, -1.598, inactive
d100, 0.0, 0.0, 2.68, -1.034, inactive
d114, 0.0, 0.0, 2.68, -1.148, inactive
d124, 0.0, 0.0, 1.89, -1.596, inactive
d113, 0.0, 0.0, 1.84, -1.491, inactive
d123, 0.0, 0.0, 4.49, -1.056, inactive
d39, 0.0, 0.0, 1.87, -1.443, inactive
d144, 0.0, 0.0, 2.9, -1.288, inactive
d182, 0.0, 0.0, 1.99, -1.366, inactive
d66, 0.0, 0.0, 2.68, -0.959, inactive
d147, 0.0, 0.0, 1.94, -0.937, inactive
d65, 0.0, 0.0, 2.83, -1.952, inactive
d84, 0.0, 0.0, 2.61, -1.256, inactive
d188, 1.0, 0.0, 3.51, -0.872, inactive
d55, 0.0, 0.0, 3.43, -1.177, inactive
d168, 0.0, 0.0, 2.03, -1.112, inactive
d185, 0.0, 0.0, 1.89, -2.09, inactive
d19, 0.0, 0.0, 1.84, -1.478, inactive
d154, 0.0, 0.0, 1.59, -1.362, inactive
d155, 0.0, 0.0, 1.72, -1.737, inactive
d40, 0.0, 0.0, 3.19, -1.266, inactive
d110, 0.0, 0.0, 3, -2.14, inactive
d186, 0.0, 0.0, 2.07, -0.574, inactive
d62, 0.0, 0.0, 1.36, -0.923, inactive
d150, 0.0, 0.0, -0.02, -0.995, inactive
d120, 0.0, 0.0, 1.77, -0.937, inactive
d89, 0.0, 0.0, 1.77, -1.028, inactive
d181, 0.0, 0.0, 0.53, -0.727, inactive
d179, 0.0, 0.0, 2.73, -1.889, inactive
d73, 0.0, 0.0, 2.68, -0.648, inactive
d77, 0.0, 0.0, 2.68, -1.029, inactive
d141, 0.0, 0.0, 3.05, -1.228, inactive
d133, 1.0, 0.0, 7.13, -1.492, inactive
d142, 1.0, 0.0, 6.68, -1.474, inactive
d5, 0.0, 0.0, 1.89, -1.59, inactive
d36, 0.0, 0.0, 3.43, -1.24, inactive
d17, 0.0, 0.0, 0.87, -0.529, inactive
d70, 0.0, 0.0, 0.47, -1.786, inactive
d119, 0.0, 0.0, 3.26, -1.995, inactive
d116, 0.0, 0.0, 1.8, -1.37, inactive
d175, 1.0, 0.0, 7.84, -1.616, inactive
d2, 0.0, 0.0, 1.44, -1.429, inactive
d38, 0.0, 0.0, 3.77, -1.228, inactive
d130, 0.0, 0.0, 1.73, -0.93, inactive
d135, 0.0, 0.0, 2.74, -1.562, inactive
d9, 0.0, 0.0, 1.64, -0.982, inactive
d139, 0.0, 0.0, 2.72, -1.019, inactive
